publication_year,original_title,authors,one_star_reviews,two_star_reviews,three_star_reviews,four_star_reviews,five_star_reviews
1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Kurt Vonnegut Jr.,24964,45518,152442,300948,367890
1936.0,Gone with the Wind,Margaret Mitchell,19996,33136,116160,234290,493721
2007.0,A Thousand Splendid Suns,Khaled Hosseini,6509,18015,99030,295817,446694
1999.0,The Perks of Being a Wallflower,Stephen Chbosky,14286,38658,143440,297501,461020
2012.0,Insurgent,Veronica Roth,10641,44620,182131,339977,369969
1985.0,Ender's Game,Orson Scott Card,15330,27612,103439,264207,462829
1818.0,"Frankenstein; or, The Modern Prometheus","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",29366,74142,231022,300495,248538
1977.0,The Shining,Stephen King,18487,28981,123862,277393,382158
2008.0,The Host,Stephenie Meyer,44215,62501,154906,227180,288758
2005.0,Looking for Alaska,John Green,16940,44232,147324,262932,359857
1996.0,,Helen Fielding,28973,59309,198555,254836,212825
1811.0,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",18430,34699,141987,272512,311754
1998.0,Holes,"Louis Sachar, Louis Sachar",15495,43786,176946,269153,259257
2003.0,The Devil Wears Prada,Lauren Weisberger,24231,58323,192366,226675,178250
-720.0,Ὀδύσσεια,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",29703,65629,183082,224120,208223
1946.0,Le Petit Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",15039,32866,114714,228440,468227
2005.0,The Glass Castle,Jeannette Walls,7901,18922,85191,227750,298102
1996.0,Into the Wild,Jon Krakauer,19229,35567,135199,248287,227095
1859.0,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",28904,55555,153305,216378,223571
1990.0,Jurassic Park,Michael Crichton,15736,34222,138327,231583,230615
1964.0,The Giving Tree,Shel Silverstein,15345,20408,76071,167542,428921
1989.0,A Time to Kill,John Grisham,12106,25938,122675,218617,229488
1958.0,Un di Velt Hot Geshvign,"Elie Wiesel, Marion Wiesel",7761,18539,90575,230227,360777
2008.0,Paper Towns,John Green,14105,47183,154479,223895,215609
1973.0,The Princess Bride,William Goldman,12883,21641,89236,196047,338235
1967.0,The Outsiders,S.E. Hinton,10178,34346,134244,227250,274419
2009.0,The Maze Runner,James Dashner,15291,43370,150488,266698,302109
2005.0,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner",14586,26538,115789,216316,176072
1911.0,The Secret Garden,Frances Hodgson Burnett,8005,25207,129646,243821,285570
1967.0,Cien años de soledad,"Gabriel García Márquez, Gregory Rabassa",27340,37646,87675,155809,267197
1891.0,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",9825,30735,129420,246892,257679
2012.0,Fifty Shades Freed,E.L. James,39079,55691,109963,140304,265079
1897.0,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",11756,36719,151396,246043,243825
2006.0,Flickan som lekte med elden,"Stieg Larsson, Reg Keeland",4623,15781,91021,258236,279592
2011.0,Fifty Shades Darker,E.L. James,37245,58935,114203,150906,262051
1998.0,The Poisonwood Bible,Barbara Kingsolver,21699,33702,92590,175725,239071
2000.0,Me Talk Pretty One Day,David Sedaris,19718,29034,93427,178021,194076
1963.0,Where the Wild Things Are,Maurice Sendak,15392,27532,93700,167043,332394
1844.0,Le Comte de Monte-Cristo,"Alexandre Dumas, Robin Buss",10381,22482,89980,183142,295235
2006.0,The Road,Cormac McCarthy,20086,36561,100989,190823,207328
2013.0,Allegiant,Veronica Roth,31626,78366,176061,192785,184388
2011.0,Bossypants,Tina Fey,14842,31761,129390,230080,203187
1999.0,A Walk to Remember,Nicholas Sparks,10640,24094,94327,169650,260870
2000.0,Confessions of a Shopaholic,Sophie Kinsella,30705,56949,156636,166927,146787
1862.0,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",15225,25914,87461,167385,264147
1998.0,A Clash of Kings,George R.R. Martin,1788,7104,56167,221706,320000
2005.0,The Memory Keeper's Daughter,Kim Edwards,19453,47004,145437,183150,115538
2012.0,Me Before You,Jojo Moyes,10346,21880,91517,249474,367916
1961.0,Catch-22,Joseph Heller,20639,37912,106269,186745,230950
1997.0,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",11507,30534,107446,194448,240462
2002.0,Middlesex,Jeffrey Eugenides,19329,30503,89740,171099,197327
1876.0,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",12130,34349,143659,217896,186192
1962.0,A Wrinkle in Time,Madeleine L'Engle,17313,34988,119115,209745,268933
1989.0,The Joy Luck Club,Amy Tan,14802,30197,116748,195930,167566
1985.0,The Handmaid's Tale,Margaret Atwood,13998,32561,116975,252942,267088
2001.0,The Sisterhood of the Traveling Pants,Ann Brashares,14996,42396,152024,177404,149784
1955.0,Lolita,"Vladimir Nabokov, Craig Raine",21091,37205,108664,165477,185553
1995.0,Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith",40802,65835,132061,153583,133217
1991.0,The Firm,John Grisham,5075,20119,111543,190966,160652
2010.0,Room,Emma Donoghue,11020,26079,99831,217995,201402
1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark","William Shakespeare, Richard Andrews, Rex Gibson",10413,32697,121040,192937,219807
1965.0,Dune,Frank Herbert,13354,22778,74206,154771,260867
2000.0,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,15111,25871,106453,189120,162511
2011.0,Steve Jobs,Walter Isaacson,19680,21986,88456,203975,245159
1962.0,One Flew Over the Cuckoo's Nest,Ken Kesey,5672,15978,78714,191622,222472
1952.0,The Old Man and the Sea,Ernest Hemingway,28645,52583,136217,186747,170136
1939.0,The Grapes of Wrath,John Steinbeck,23552,40261,103475,173589,212475
2003.0,The Five People You Meet in Heaven,Mitch Albom,12360,33669,107800,155830,165040
1908.0,Anne of Green Gables,L.M. Montgomery,8864,19531,80256,158725,265976
2009.0,City of Glass,Cassandra Clare,6646,17351,79202,179290,348071
2000.0,A Storm of Swords,George R.R. Martin,1456,4820,36418,149268,335682
1996.0,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,15795,35314,120396,158451,140552
1991.0,Outlander,Diana Gabaldon,20998,27673,73126,147085,309960
1850.0,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",34813,80444,182701,165079,96209
2011.0,Miss Peregrine’s Home for Peculiar Children,Ransom Riggs,14920,45434,159227,234792,217849
2007.0,Luftslottet som sprängdes,"Stieg Larsson, Reg Keeland",3823,14773,78387,203297,226511
2012.0,The Martian,Andy Weir,4114,10856,49200,173861,291671
1989.0,The Pillars of the Earth,Ken Follett,9248,16886,57825,148052,263882
2014.0,,Anthony Doerr,6209,14527,61020,185239,280832
2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,10308,12874,47828,144203,313339
2001.0,Deception Point,Dan Brown,14380,45006,143182,160819,116346
2013.0,The Goldfinch,Donna Tartt,19164,35300,93459,153459,162465
2007.0,Thirteen Reasons Why,Jay Asher,15246,35668,105414,179197,235756
1999.0,Girl with a Pearl Earring,Tracy Chevalier,11525,28287,123463,189656,139246
2009.0,If I Stay,Gayle Forman,12666,34896,122977,190793,205755
1997.0,The Red Tent,Anita Diamant,9470,19616,67878,146178,206075
2006.0,The Sea of Monsters,Rick Riordan,2967,13884,91127,188988,253546
2006.0,Dear John,Nicholas Sparks,9683,25220,94711,145202,179965
2008.0,City of Ashes,Cassandra Clare,6135,20075,92626,192934,274238
1606.0,The Tragedy of Macbeth,William Shakespeare,10551,35408,127354,183871,167642
1954.0,The Two Towers,J.R.R. Tolkien,3013,10264,55433,156232,307267
2004.0,Something Borrowed,Emily Giffin,16019,29297,104322,148507,137044
1960.0,Green Eggs and Ham,"Dr. Seuss, לאה נאור",6605,14530,66873,121751,251282
1964.0,Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake",6236,17193,94240,178216,198862
2008.0,The Battle of the Labyrinth,Rick Riordan,2435,8093,62108,172289,292783
1860.0,Great Expectations,Charles Dickens,22811,44293,120385,170702,148996
1955.0,The Return of the King,J.R.R. Tolkien,2691,8008,42693,132149,324996
1942.0,L’Étranger,"Albert Camus, Matthew    Ward",10563,28920,100140,174957,169043
2010.0,The Lost Hero,Rick Riordan,5020,11267,58590,148498,266120
2013.0,Eleanor & Park,Rainbow Rowell,12904,26371,94470,196224,249784
2005.0,A Feast for Crows,George R.R. Martin,3170,18574,94401,175973,189012
2010.0,Matched,Ally Condie,24343,53804,138030,165412,149091
2001.0,American Gods,Neil Gaiman,9888,24944,83253,178346,221912
1978.0,The Stand,"Stephen King, Bernie Wrightson",5647,13612,56722,134098,259874
2008.0,The Last Song,Nicholas Sparks,7253,17803,77712,140241,195420
1998.0,Digital Fortress,Dan Brown,16592,47507,136196,144029,103179
1815.0,Emma,"Jane Austen, Fiona Stafford",11386,25777,102144,178238,180404
1877.0,Анна Каренина,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",11738,26945,88365,158179,187569
1962.0,A Clockwork Orange,Anthony Burgess,14741,24244,84863,163488,167055
2007.0,The Shack: Where Tragedy Confronts Eternity,William Paul Young,35734,42977,84751,111923,162907
2009.0,The Last Olympian,Rick Riordan,2098,6501,45208,133168,312535
1986.0,It,Stephen King,8464,19610,75841,148672,226794
1866.0,Преступление и наказание,"Fyodor Dostoyevsky, David McDuff",9477,20078,64050,137104,213966
1963.0,The Bell Jar,Sylvia Plath,8266,23983,92408,162216,155284
1996.0,Angela's Ashes: A Memoir,Frank McCourt,7657,18327,73550,155775,164437
1922.0,Siddhartha,"Hermann Hesse, Hilda Rosner",10229,25529,83698,138837,160360
1965.0,In Cold Blood,Truman Capote,10639,17836,70857,144616,157891
2009.0,Beautiful Creatures,"Kami Garcia, Margaret Stohl",19917,43525,113352,132492,149232
2010.0,Clockwork Angel,Cassandra Clare,8364,15544,61409,140928,289514
1988.0,Matilda,"Roald Dahl, Quentin Blake",4277,10823,64536,152003,231852
2011.0,The Night Circus,Erin Morgenstern,11349,28650,84254,159596,190977
2001.0,The Other Boleyn Girl,Philippa Gregory,5311,16716,78620,153807,144769
2005.0,Uglies,Scott Westerfeld,15531,34808,106086,151540,156624
2011.0,A Dance with Dragons,George R.R. Martin,2399,10150,53744,147136,211189
1955.0,The Lord of the Rings,J.R.R. Tolkien,4807,9577,37552,106818,277592
2012.0,Wild: From Lost to Found on the Pacific Crest Trail ,Cheryl Strayed,8344,22137,85489,165482,139451
1987.0,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",6349,11732,44847,116877,229518
2007.0,The Name of the Wind,Patrick Rothfuss,5605,8582,28480,95470,311235
2008.0,Outliers: The Story of Success,Malcolm Gladwell,4494,12545,62510,148978,140599
1851.0,"Moby Dick; or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",35983,52601,103625,102432,103322
2008.0,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",7190,17250,68942,155107,175183
1996.0,Fight Club,Chuck Palahniuk,4578,12632,58110,139554,173780
2001.0,Dead Until Dark,Charlaine Harris,11330,25781,96290,148326,163097
1982.0,The Color Purple,Alice Walker,6298,14477,62380,140835,176975
2005.0,Marley & Me: Life and Love with the World's Worst Dog,John Grogan,5485,14940,68532,131536,158855
1939.0,Ten Little Niggers,Agatha Christie,6134,12476,66243,156306,215521
2009.0,The Lost Symbol,Dan Brown,11293,40545,120122,136545,96477
2009.0,"Hush, Hush",Becca Fitzpatrick,19338,33543,82544,120204,206173
2011.0,Beautiful Disaster,Jamie McGuire,17185,23298,61993,115123,225097
1843.0,A Christmas Carol,Charles Dickens,6737,21415,93906,153823,165515
1976.0,Interview with the Vampire,Anne Rice,7519,22377,84804,137659,141582
2012.0,The Selection,Kiera Cass,13841,25349,83692,158716,257493
1994.0,One for the Money,Janet Evanovich,9176,19657,80319,133454,160709
2010.0,The Immortal Life of Henrietta Lacks,Rebecca Skloot,10782,18237,70339,151226,153856
1988.0,The Silence of the Lambs,Thomas Harris,10268,12845,55427,123652,163920
2007.0,,Richelle Mead,12535,22043,73357,129382,217834
2005.0,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,6804,20128,85934,139947,107525
2001.0,Atonement,Ian McEwan,11473,25462,77135,134788,116800
1915.0,Die Verwandlung,"Franz Kafka, Stanley Corngold",15430,33226,98774,146297,120806
2007.0,The Titan's Curse,Rick Riordan,1863,7934,65220,162371,248874
2011.0,,Ernest Cline,5150,12928,48285,134107,221349
2006.0,The Art of Racing in the Rain,Garth Stein,4808,13901,53780,118166,163664
2003.0,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","Erik Larson, Tony Goldwyn",6687,18709,69012,135360,120839
2012.0,Bared to You,Sylvia Day,9867,18983,55554,104657,197075
1956.0,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes",3772,12192,59975,133056,192681
,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,6862,11019,48008,67939,158071
1995.0,"A Child Called ""It"": One Child's Courage to Survive",Dave Pelzer,7819,16453,57341,98786,140899
1980.0,The Bourne Identity,Robert Ludlum,10266,17695,65161,118463,124627
2001.0,Artemis Fowl,Eoin Colfer,14473,30894,94950,129607,129241
2009.0,Fallen,Lauren Kate,23594,41578,94145,107149,141642
1952.0,East of Eden  ,John Steinbeck,4183,9409,39153,96741,187196
2009.0,Dark Places,Gillian Flynn,5169,17975,89242,165108,109113
1993.0,The Client,John Grisham,2530,12566,79176,129019,102372
2002.0,The Nanny Diaries,"Emma McLaughlin, Nicola Kraus",17006,43014,116021,95951,56081
1865.0,Alice's Adventures in Wonderland,"Lewis Carroll, John Tenniel, Martin Gardner",5294,17482,76985,127906,149523
1817.0,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",6688,15653,71218,133222,175578
2007.0,Elle s'appelait Sarah,Tatiana de Rosnay,3865,12684,55760,134748,140574
1982.0,The Gunslinger,Stephen King,9958,24111,72736,112895,146677
1985.0,El amor en los tiempos del cólera,"Gabriel García Márquez, Edith Grossman",11450,23825,65668,110544,111974
1999.0,Speak,Laurie Halse Anderson,7770,21049,76503,125660,141422
2013.0,The Husband's Secret ,Liane Moriarty,4175,15649,80869,155945,95167
1997.0,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,8041,10286,46060,112601,124605
1974.0,Carrie,Stephen King,4564,19479,96352,136054,121201
2002.0,Running with Scissors,Augusten Burroughs,13569,27249,78405,105786,81379
2006.0,World War Z: An Oral History of the Zombie War,Max Brooks,7680,19887,65570,121537,130475
2013.0,Inferno,Dan Brown,7261,26077,89237,128374,94611
1989.0,Number the Stars,Lois Lowry,3797,12794,63919,123296,138559
1993.0,Along Came a Spider,James Patterson,4281,10929,61630,118236,122955
1987.0,Misery,Stephen King,4302,12725,64835,128990,141351
2006.0,Sharp Objects,Gillian Flynn,4988,17566,81036,147558,103690
1977.0,Bridge to Terabithia,Katherine Paterson,8287,20081,74409,119504,131193
2007.0,Marked,"P.C. Cast, Kristin Cast",21547,34170,81486,97982,135835
1989.0,The 7 Habits of Highly Effective People,Stephen R. Covey,9038,17041,61036,109359,137410
1595.0,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",5598,20498,84388,130051,120975
2005.0,Extremely Loud and Incredibly Close,Jonathan Safran Foer,8847,20556,61303,109008,119402
2012.0,Wonder,R.J. Palacio,4504,7833,34567,105977,224910
1957.0,The Cat in the Hat,Dr. Seuss,6179,14497,57850,85944,152712
2012.0,Cinder,Marissa Meyer,12154,18256,66180,150914,206642
2013.0,The Cuckoo's Calling,"Robert Galbraith, J.K. Rowling",9729,20151,79290,138955,92370
2009.0,Shiver,Maggie Stiefvater,17815,35108,86129,105099,126660
1957.0,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",30901,27442,53762,78744,105796
2006.0,Three Cups of Tea ,"Greg Mortenson, David Oliver Relin",14371,27844,77127,97820,71358
1865.0,,"Jane Carruth, Lewis Carroll, Rene Cloke",7467,18101,70170,109730,137803
2001.0,La sombra del viento,"Carlos Ruiz Zafón, Lucia Graves",4789,11769,42214,101612,157170
2010.0,The Scorch Trials,James Dashner,5525,21370,79458,124458,115496
1936.0,How to Win Friends and Influence People,Dale Carnegie,6734,13880,50529,94743,139551
1996.0,Under the Tuscan Sun,Frances Mayes,12008,22882,74910,93439,78597
2014.0,Big Little Lies,Liane Moriarty,3775,7865,49115,159494,151184
1997.0,Ella Enchanted,Gail Carson Levine,6619,20066,80272,110568,128224
1926.0,The Sun Also Rises,Ernest Hemingway,9602,23682,70004,105785,94044
1943.0,A Tree Grows In Brooklyn ,Betty  Smith,3693,9667,43734,103879,148027
1995.0,Kiss the Girls,James Patterson,10518,14558,58296,95980,99764
2015.0,The Nightingale,Kristin Hannah,2829,4913,20612,82844,215817
2005.0,Never Let Me Go,Kazuo Ishiguro,9081,26036,78203,118163,92144
2003.0,"PS, I Love You",Cecelia Ahern,7027,16336,56951,90089,113010
1938.0,Rebecca,"Daphne du Maurier, Sally Beauman",4565,10900,49263,112768,152100
1966.0,Flowers for Algernon,Daniel Keyes,4223,14882,65106,122462,129526
1989.0,Como agua para chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",8887,15941,60147,100011,100483
2005.0,Snow Flower and the Secret Fan,Lisa See,3268,11286,56005,116178,103923
1969.0,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",2930,5985,30009,83730,147732
2006.0,An Abundance of Katherines,John Green,14225,36867,98115,111740,86477
1951.0,Foundation,Isaac Asimov,7697,12471,47251,97583,132586
2013.0,The Ocean at the End of the Lane,Neil Gaiman,7038,18089,64714,127761,118649
1981.0,A Light in the Attic,Shel Silverstein,3585,7593,38923,85051,169362
2016.0,"Harry Potter and the Cursed Child, Parts One and Two","John Tiffany, Jack Thorne, J.K. Rowling",15828,35842,96395,133156,116552
2011.0,Delirium,Lauren Oliver,8868,21223,68789,117580,135938
1992.0,The Pelican Brief,John Grisham,2362,12423,73587,116438,91358
2002.0,Coraline,Neil Gaiman,7078,15010,67188,126167,128187
1990.0,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",4991,10988,44804,101159,164431
1955.0,On the Road,Jack Kerouac,13769,31221,70104,88569,74221
2013.0,The Rosie Project,Graeme Simsion,4544,11558,57792,133951,97664
2008.0,The Lucky One,Nicholas Sparks,3661,11792,54208,94613,117049
1943.0,The Fountainhead,"Ayn Rand, Leonard Peikoff",18158,18720,44131,76424,97543
1984.0,The Hunt for Red October,Tom Clancy,9470,13707,49906,95296,109876
1972.0,Watership Down,Richard Adams,9158,15767,52906,102093,128449
2011.0,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,6438,18856,81229,117248,89160
2009.0,Cutting for Stone,Abraham Verghese,4586,9249,32671,91293,143280
1951.0,The Voyage of the Dawn Treader,"C.S. Lewis, Pauline Baynes",2658,12490,69089,112121,128906
1882.0,Treasure Island,Robert Louis Stevenson,5349,19127,86487,114968,84584
2011.0,The Son of Neptune ,Rick Riordan,1773,4666,30788,93611,185962
2011.0,11/22/63,Stephen King,2927,7649,35500,109392,147589
1969.0,The Very Hungry Caterpillar,Eric Carle,5801,11214,43549,73389,170575
1963.0,Cat's Cradle,Kurt Vonnegut Jr.,2701,8491,43680,102441,116840
1895.0,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",3570,16119,81773,118129,84139
2010.0,,"Todd Burpo, Lynn Vincent",9291,15024,44510,68399,105794
2006.0,The Boy in the Striped Pyjamas,John Boyne,5297,13562,54987,121193,130362
1899.0,Heart of Darkness,Joseph Conrad,25591,42946,84433,88608,66813
2010.0,Safe Haven,Nicholas Sparks,3010,9496,45461,91240,125767
2006.0,The Secret,Rhonda Byrne,23328,26321,55785,61698,83813
1998.0,I Know This Much Is True ,Wally Lamb,4430,9972,39899,86909,116398
1983.0,Pet Sematary,Stephen King,4584,17315,73475,102744,95635
1992.0,She's Come Undone,Wally Lamb,10224,20064,59412,91423,87801
2011.0,The Wise Man's Fear,Patrick Rothfuss,1486,4018,17932,66415,192498
2003.0,Can You Keep a Secret?,Sophie Kinsella,8003,19319,76244,101810,88425
2011.0,City of Fallen Angels,Cassandra Clare,4306,16000,64499,120426,167936
2001.0,Good in Bed,Jennifer Weiner,12137,20336,66587,84488,68757
1977.0,The Thorn Birds,Colleen McCullough,2889,9117,42299,85531,126990
2008.0,The Graveyard Book,"Neil Gaiman, Dave McKean",5515,12566,53668,120830,132872
2012.0,The Light Between Oceans,M.L. Stedman,3432,11985,56557,124430,92030
2003.0,Tintenherz,"Cornelia Funke, Anthea Bell",8524,22966,71494,98625,99805
1998.0,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",12161,23384,61934,77196,78459
1997.0,A Walk in the Woods,Bill Bryson,3553,10293,50487,104690,95426
1969.0,I Know Why the Caged Bird Sings,Maya Angelou,4969,9937,42472,95531,131539
2013.0,Orphan Train,Christina Baker Kline,1703,6769,42434,116003,97059
2012.0,City of Lost Souls,Cassandra Clare,3341,10329,43333,97947,172919
2012.0,"Where'd You Go, Bernadette",Maria Semple,4080,13047,59489,119361,72176
1961.0,Where the Red Fern Grows,Wilson Rawls,6585,15232,53560,89699,115103
1996.0,Neverwhere,Neil Gaiman,3126,9628,46996,113506,128484
1984.0,Nesnesitelná lehkost bytí,"Milan Kundera, Michael Henry Heim",4894,12964,42199,84519,103404
2013.0,,Rainbow Rowell,8626,16973,60097,121431,164603
1989.0,A Prayer for Owen Meany,John Irving,4679,9761,33669,76223,122120
1999.0,White Oleander,Janet Fitch,3765,13598,60133,94893,81887
2011.0,Legend,Marie Lu,5069,11608,48677,106122,146996
